 ,Area,Mean,Min,Max,Row,Column,Auncorr,Ablank,Acorr
1,177,240.633,233,248,A,1,0.025,-0.000,0.025
2,177,242.667,240,245,A,2,0.022,-0.000,0.022
3,177,238.169,234,244,A,3,0.030,-0.000,0.030
4,177,242.486,241,244,A,4,0.022,-0.000,0.022
5,177,248.955,248,251,A,5,0.010,-0.000,0.010
6,177,247.085,243,252,A,6,0.014,-0.000,0.014
7,177,241.763,237,249,A,7,0.023,-0.000,0.023
8,177,242.356,239,249,A,8,0.022,-0.000,0.022
9,177,246.559,245,248,A,9,0.015,-0.000,0.015
10,177,246.565,246,248,A,10,0.015,-0.000,0.015
11,177,246.729,244,252,A,11,0.014,-0.000,0.014
12,177,247.480,245,251,A,12,0.013,-0.000,0.013
13,177,241.486,237,248,B,1,0.024,0.014,0.010
14,177,235.768,232,241,B,2,0.034,0.018,0.016
15,177,247.220,245,249,B,3,0.013,0.012,0.001
16,177,244.226,243,246,B,4,0.019,0.006,0.013
17,177,240.305,239,243,B,5,0.026,0.009,0.017
18,177,250.661,249,254,B,6,0.007,0.014,-0.006
19,177,246.650,245,250,B,7,0.014,0.015,-9.238E-4
20,177,248.723,246,251,B,8,0.011,0.017,-0.006
21,177,246.011,245,248,B,9,0.016,0.014,0.002
22,177,244.153,241,247,B,10,0.019,0.008,0.011
23,177,241.390,237,245,B,11,0.024,0.003,0.021
24,177,247.040,245,250,B,12,0.014,-0.000,0.014
25,177,246.073,243,249,C,1,0.015,0.008,0.007
26,177,241.819,240,245,C,2,0.023,0.011,0.012
27,177,243.311,241,246,C,3,0.020,0.008,0.013
28,177,249.791,247,252,C,4,0.009,0.005,0.004
29,177,249.480,246,251,C,5,0.010,0.005,0.004
30,177,246.729,245,248,C,6,0.014,0.009,0.005
31,177,253.836,252,255,C,7,0.002,0.015,-0.013
32,177,245.090,243,248,C,8,0.017,0.011,0.006
33,177,245.661,243,248,C,9,0.016,0.004,0.012
34,177,245.085,243,247,C,10,0.017,0.004,0.013
35,177,241.418,239,244,C,11,0.024,0.007,0.017
36,177,250.243,240,254,C,12,0.008,-0.000,0.008
37,177,236.932,231,241,D,1,0.032,0.006,0.026
38,177,236.316,233,238,D,2,0.033,0.011,0.022
39,177,248.746,247,250,D,3,0.011,0.010,0.001
40,177,249.554,247,253,D,4,0.009,0.005,0.005
41,177,246.277,245,248,D,5,0.015,0.003,0.012
42,177,251.130,250,253,D,6,0.007,0.004,0.003
43,177,251.853,250,253,D,7,0.005,0.009,-0.003
44,177,250.412,249,252,D,8,0.008,0.003,0.005
45,177,249.616,248,251,D,9,0.009,0.004,0.006
46,177,245.876,239,251,D,10,0.016,0.011,0.005
47,177,242.955,240,246,D,11,0.021,0.022,-0.001
48,177,253.610,251,255,D,12,0.002,-0.000,0.002
49,177,239.068,235,243,E,1,0.028,0.014,0.014
50,177,242.045,241,245,E,2,0.023,0.016,0.006
51,177,244.932,244,246,E,3,0.017,0.010,0.008
52,177,248.814,248,251,E,4,0.011,0.005,0.006
53,177,248.503,247,251,E,5,0.011,0.003,0.008
54,177,250.062,249,252,E,6,0.008,0.004,0.004
55,177,247.672,245,252,E,7,0.013,0.004,0.008
56,177,250.418,249,252,E,8,0.008,0.003,0.005
57,177,248.147,245,251,E,9,0.012,0.008,0.003
58,177,249.944,246,255,E,10,0.009,0.019,-0.011
59,177,244.486,241,247,E,11,0.018,0.027,-0.009
60,177,246.107,235,253,E,12,0.015,-0.000,0.015
61,177,226.028,208,236,F,1,0.052,0.015,0.037
62,177,243.181,242,245,F,2,0.021,0.018,0.003
63,177,245.661,245,247,F,3,0.016,0.010,0.006
64,177,251.299,250,253,F,4,0.006,0.006,3.840E-4
65,177,252.972,250,255,F,5,0.003,0.006,-0.002
66,177,253.107,252,254,F,6,0.003,0.004,-9.811E-4
67,177,242.565,240,246,F,7,0.022,0.004,0.018
68,177,251.328,249,254,F,8,0.006,0.007,-0.001
69,177,251.910,250,254,F,9,0.005,0.014,-0.008
70,177,249.887,247,253,F,10,0.009,0.021,-0.013
71,177,241.056,240,243,F,11,0.024,0.020,0.004
72,177,241.311,238,245,F,12,0.024,-0.000,0.024
73,177,246.068,238,255,G,1,0.015,0.016,-9.819E-4
74,177,244.056,242,246,G,2,0.019,0.013,0.006
75,177,245.876,245,247,G,3,0.016,0.009,0.007
76,177,246.373,245,250,G,4,0.015,0.011,0.004
77,177,250.266,248,252,G,5,0.008,0.009,-0.001
78,177,249.672,247,251,G,6,0.009,0.005,0.004
79,177,250.910,247,253,G,7,0.007,0.005,0.002
80,177,251.819,248,255,G,8,0.005,0.007,-0.001
81,177,252.158,247,255,G,9,0.005,0.008,-0.004
82,177,247.667,241,255,G,10,0.013,0.016,-0.003
83,177,238.819,235,247,G,11,0.028,0.014,0.014
84,177,237.712,223,248,G,12,0.030,-0.000,0.030
85,177,242.729,232,253,H,1,0.021,0.008,0.014
86,177,232.955,229,238,H,2,0.039,0.005,0.035
87,177,232.757,229,235,H,3,0.040,0.004,0.035
88,177,244.429,242,247,H,4,0.018,0.009,0.009
89,177,247.983,245,252,H,5,0.012,0.012,3.730E-4
90,177,249.746,248,251,H,6,0.009,0.007,0.002
91,177,246.785,245,248,H,7,0.014,0.004,0.010
92,177,245.898,244,247,H,8,0.016,0.006,0.010
93,177,240.599,237,245,H,9,0.025,0.004,0.021
94,177,239.559,238,243,H,10,0.027,0.004,0.023
95,177,244.910,235,250,H,11,0.018,0.012,0.006
96,177,236.395,231,243,H,12,0.033,-0.000,0.033
