 ,Area,Mean,Min,Max,Row,Column,Auncorr,Ablank,Acorr
1,177,169.333,163,176,A,1,0.178,-0.000,0.178
2,177,170.107,168,173,A,2,0.176,-0.000,0.176
3,177,162.904,158,169,A,3,0.195,-0.000,0.195
4,177,173.226,170,178,A,4,0.168,-0.000,0.168
5,177,176.972,173,183,A,5,0.159,-0.000,0.159
6,177,168.994,165,172,A,6,0.179,-0.000,0.179
7,177,153.401,146,165,A,7,0.221,-0.000,0.221
8,177,152.763,148,161,A,8,0.223,-0.000,0.223
9,177,171.096,169,175,A,9,0.173,-0.000,0.173
10,177,159.175,155,162,A,10,0.205,-0.000,0.205
11,177,171.734,167,180,A,11,0.172,-0.000,0.172
12,177,172.887,168,179,A,12,0.169,-0.000,0.169
13,177,168.486,162,176,B,1,0.180,0.070,0.110
14,177,154.503,148,159,B,2,0.218,0.091,0.127
15,177,161.819,159,164,B,3,0.198,0.091,0.107
16,177,148.949,147,152,B,4,0.234,0.085,0.149
17,177,157.198,155,160,B,5,0.210,0.084,0.126
18,177,162.356,160,166,B,6,0.196,0.094,0.102
19,177,146.136,143,151,B,7,0.242,0.099,0.142
20,177,153.056,151,157,B,8,0.222,0.098,0.123
21,177,153.107,150,156,B,9,0.222,0.098,0.124
22,177,150.729,146,155,B,10,0.228,0.093,0.135
23,177,148.537,140,153,B,11,0.235,0.095,0.139
24,177,170.678,168,173,B,12,0.174,-0.000,0.174
25,177,160.904,157,167,C,1,0.200,0.068,0.132
26,177,152.113,149,156,C,2,0.224,0.086,0.138
27,177,150.864,148,155,C,3,0.228,0.084,0.144
28,177,145.463,141,150,C,4,0.244,0.083,0.161
29,177,147.475,145,150,C,5,0.238,0.094,0.144
30,177,149.655,147,152,C,6,0.231,0.102,0.130
31,177,153.203,151,156,C,7,0.221,0.103,0.118
32,177,150.780,148,154,C,8,0.228,0.099,0.129
33,177,152.774,150,156,C,9,0.222,0.097,0.126
34,177,144.186,139,151,C,10,0.248,0.095,0.152
35,177,145.158,141,151,C,11,0.245,0.100,0.145
36,177,154.153,138,165,C,12,0.219,-0.000,0.219
37,177,167.418,157,176,D,1,0.183,0.065,0.117
38,177,159.802,156,165,D,2,0.203,0.089,0.114
39,177,149.627,147,153,D,3,0.232,0.086,0.145
40,177,138.373,136,144,D,4,0.265,0.086,0.179
41,177,149.667,148,151,D,5,0.231,0.096,0.136
42,177,146.469,143,150,D,6,0.241,0.104,0.137
43,177,161.147,159,164,D,7,0.199,0.107,0.092
44,177,154.695,153,157,D,8,0.217,0.102,0.115
45,177,153.475,150,157,D,9,0.221,0.101,0.119
46,177,150.458,145,156,D,10,0.229,0.109,0.120
47,177,145.706,139,152,D,11,0.243,0.117,0.126
48,177,180.079,175,184,D,12,0.151,-0.000,0.151
49,177,169.582,162,173,E,1,0.177,0.076,0.101
50,177,156.350,155,162,E,2,0.212,0.105,0.108
51,177,150.497,149,153,E,3,0.229,0.093,0.136
52,177,149.740,148,154,E,4,0.231,0.089,0.142
53,177,152.006,149,155,E,5,0.225,0.096,0.128
54,177,153.367,151,156,E,6,0.221,0.106,0.115
55,177,147.921,145,155,E,7,0.237,0.108,0.129
56,177,161.955,160,164,E,8,0.197,0.106,0.091
57,177,162.418,158,166,E,9,0.196,0.114,0.082
58,177,156.881,149,163,E,10,0.211,0.119,0.092
59,177,150.062,146,154,E,11,0.230,0.117,0.113
60,177,161.644,148,172,E,12,0.198,-0.000,0.198
61,177,153.492,140,160,F,1,0.220,0.091,0.130
62,177,159.136,157,162,F,2,0.205,0.118,0.087
63,177,150.226,149,154,F,3,0.230,0.102,0.128
64,177,147.175,146,149,F,4,0.239,0.097,0.142
65,177,155.718,151,161,F,5,0.214,0.105,0.109
66,177,155.475,153,159,F,6,0.215,0.112,0.103
67,177,149.006,146,152,F,7,0.233,0.106,0.127
68,177,160.446,158,164,F,8,0.201,0.108,0.094
69,177,164.661,159,172,F,9,0.190,0.121,0.069
70,177,158.802,155,165,F,10,0.206,0.122,0.084
71,177,152.503,150,155,F,11,0.223,0.107,0.116
72,177,161.565,158,168,F,12,0.198,-0.000,0.198
73,177,168.847,160,178,G,1,0.179,0.103,0.076
74,177,156.356,153,160,G,2,0.212,0.111,0.102
75,177,157.215,153,160,G,3,0.210,0.103,0.107
76,177,143.362,133,151,G,4,0.250,0.101,0.149
77,177,147.158,140,153,G,5,0.239,0.110,0.128
78,177,140.271,136,145,G,6,0.260,0.107,0.152
79,177,152.582,148,156,G,7,0.223,0.101,0.122
80,177,149.723,145,157,G,8,0.231,0.107,0.124
81,177,149.825,143,154,G,9,0.231,0.110,0.121
82,177,142.282,131,153,G,10,0.253,0.105,0.148
83,177,153.497,149,164,G,11,0.220,0.097,0.123
84,177,153.802,143,162,G,12,0.220,-0.000,0.220
85,177,164.588,152,175,H,1,0.190,0.069,0.121
86,177,165.243,156,172,H,2,0.188,0.075,0.113
87,177,163.712,159,165,H,3,0.192,0.073,0.119
88,177,166.655,164,169,H,4,0.185,0.075,0.110
89,177,169.407,167,173,H,5,0.178,0.085,0.092
90,177,163.062,162,164,H,6,0.194,0.082,0.112
91,177,159.520,158,162,H,7,0.204,0.081,0.123
92,177,161.181,159,164,H,8,0.199,0.082,0.117
93,177,156.932,153,161,H,9,0.211,0.074,0.137
94,177,162.814,160,166,H,10,0.195,0.074,0.120
95,177,166.469,154,179,H,11,0.185,0.077,0.109
96,177,147.243,143,154,H,12,0.239,-0.000,0.239
