 ,Area,Mean,Min,Max,Row,Column,Auncorr,Ablank,Acorr
1,177,117.966,112,123,A,1,0.335,-0.000,0.335
2,177,132.661,131,136,A,2,0.284,-0.000,0.284
3,177,147.938,143,154,A,3,0.236,-0.000,0.236
4,177,187.085,184,191,A,4,0.135,-0.000,0.135
5,177,212.927,211,216,A,5,0.078,-0.000,0.078
6,177,198.638,191,203,A,6,0.108,-0.000,0.108
7,177,173.475,167,185,A,7,0.167,-0.000,0.167
8,177,202.401,196,213,A,8,0.100,-0.000,0.100
9,177,201.395,200,206,A,9,0.102,-0.000,0.102
10,177,192.689,189,196,A,10,0.122,-0.000,0.122
11,177,187.147,184,193,A,11,0.134,-0.000,0.134
12,177,142.169,138,149,A,12,0.254,-0.000,0.254
13,177,121.689,116,128,B,1,0.321,0.111,0.210
14,177,110.610,106,115,B,2,0.363,0.154,0.209
15,177,146.842,145,149,B,3,0.240,0.115,0.125
16,177,179.983,178,183,B,4,0.151,0.082,0.069
17,177,189.073,186,192,B,5,0.130,0.077,0.053
18,177,202.751,201,206,B,6,0.100,0.080,0.019
19,177,193.294,190,199,B,7,0.120,0.080,0.040
20,177,196.989,193,202,B,8,0.112,0.080,0.032
21,177,203.650,202,206,B,9,0.098,0.077,0.020
22,177,185.311,182,189,B,10,0.139,0.081,0.057
23,177,166.051,159,170,B,11,0.186,0.099,0.088
24,177,139.045,137,141,B,12,0.263,-0.000,0.263
25,177,108.011,105,112,C,1,0.373,0.106,0.267
26,177,115.684,113,120,C,2,0.343,0.138,0.206
27,177,141.554,140,145,C,3,0.256,0.104,0.151
28,177,189.734,186,194,C,4,0.128,0.083,0.046
29,177,184.559,182,187,C,5,0.140,0.082,0.058
30,177,191.842,189,194,C,6,0.124,0.084,0.039
31,177,194.887,192,198,C,7,0.117,0.085,0.032
32,177,205.237,203,208,C,8,0.094,0.077,0.017
33,177,195.944,193,198,C,9,0.114,0.074,0.040
34,177,199.944,196,206,C,10,0.106,0.080,0.026
35,177,163.695,160,170,C,11,0.193,0.105,0.087
36,177,121.085,103,130,C,12,0.323,-0.000,0.323
37,177,110.831,103,119,D,1,0.362,0.104,0.257
38,177,117.181,115,122,D,2,0.338,0.137,0.201
39,177,159.203,157,161,D,3,0.205,0.104,0.101
40,177,186.689,183,191,D,4,0.135,0.081,0.055
41,177,183.842,182,186,D,5,0.142,0.081,0.061
42,177,191.068,189,194,D,6,0.125,0.085,0.040
43,177,201.757,200,204,D,7,0.102,0.083,0.018
44,177,200.915,198,204,D,8,0.104,0.074,0.029
45,177,197.667,192,201,D,9,0.111,0.076,0.034
46,177,197.017,191,202,D,10,0.112,0.093,0.019
47,177,165.989,158,172,D,11,0.186,0.121,0.065
48,177,151.972,147,155,D,12,0.225,-0.000,0.225
49,177,119.407,113,124,E,1,0.330,0.122,0.207
50,177,113.571,112,117,E,2,0.351,0.139,0.213
51,177,143.514,142,146,E,3,0.250,0.106,0.143
52,177,195.508,194,198,E,4,0.115,0.081,0.034
53,177,186.644,184,189,E,5,0.136,0.080,0.056
54,177,191.814,189,194,E,6,0.124,0.082,0.042
55,177,194.367,190,201,E,7,0.118,0.079,0.039
56,177,200.915,198,204,E,8,0.104,0.077,0.026
57,177,199.090,197,202,E,9,0.107,0.082,0.025
58,177,198.373,188,207,E,10,0.109,0.096,0.013
59,177,173.249,167,177,E,11,0.168,0.119,0.049
60,177,131.299,114,144,E,12,0.288,-0.000,0.288
61,177,161.441,152,170,F,1,0.199,0.127,0.071
62,177,117.949,114,121,F,2,0.335,0.147,0.188
63,177,150.034,149,153,F,3,0.230,0.120,0.111
64,177,192.859,191,194,F,4,0.121,0.092,0.029
65,177,195.593,193,197,F,5,0.115,0.089,0.026
66,177,200.062,197,203,F,6,0.105,0.084,0.021
67,177,198.503,196,201,F,7,0.109,0.074,0.034
68,177,206.079,201,210,F,8,0.093,0.074,0.019
69,177,209.475,205,213,F,9,0.085,0.085,-5.246E-5
70,177,194.808,187,202,F,10,0.117,0.098,0.019
71,177,159.299,154,163,F,11,0.204,0.111,0.093
72,177,136.627,131,144,F,12,0.271,-0.000,0.271
73,177,145.729,138,156,G,1,0.243,0.113,0.130
74,177,114.706,110,118,G,2,0.347,0.153,0.194
75,177,131.113,128,133,G,3,0.289,0.127,0.161
76,177,174.751,169,181,G,4,0.164,0.099,0.065
77,177,197.887,195,201,G,5,0.110,0.085,0.025
78,177,194.734,190,202,G,6,0.117,0.077,0.041
79,177,199.684,195,204,G,7,0.106,0.069,0.037
80,177,207.503,202,215,G,8,0.090,0.066,0.023
81,177,200.497,195,205,G,9,0.104,0.070,0.034
82,177,190.542,183,196,G,10,0.127,0.090,0.036
83,177,164.158,153,181,G,11,0.191,0.112,0.079
84,177,118.271,108,129,G,12,0.334,-0.000,0.334
85,177,113.282,98,125,H,1,0.352,0.087,0.266
86,177,131.339,124,136,H,2,0.288,0.115,0.174
87,177,145.141,142,147,H,3,0.245,0.093,0.152
88,177,190.333,188,194,H,4,0.127,0.077,0.050
89,177,202.266,198,207,H,5,0.101,0.073,0.027
90,177,203.588,201,205,H,6,0.098,0.064,0.034
91,177,205.893,203,208,H,7,0.093,0.060,0.033
92,177,221.904,218,224,H,8,0.060,0.057,0.003
93,177,212.119,209,215,H,9,0.080,0.056,0.024
94,177,198.023,195,203,H,10,0.110,0.064,0.046
95,177,180.768,169,193,H,11,0.149,0.082,0.068
96,177,121.164,114,127,H,12,0.323,-0.000,0.323
